date,mean_interest,category
2025-11-02,31.333333333333332,alcohol
2025-11-09,31.666666666666668,alcohol
2025-11-16,31.333333333333332,alcohol
2025-11-23,28.0,alcohol
2025-11-30,31.666666666666668,alcohol
2025-12-07,31.333333333333332,alcohol
2025-12-14,29.666666666666668,alcohol
2025-12-21,30.0,alcohol
2025-12-28,37.0,alcohol
2026-01-04,41.0,alcohol
2026-01-11,32.0,alcohol
2026-01-18,31.333333333333332,alcohol
2026-01-25,31.0,alcohol
2026-02-01,36.333333333333336,alcohol
2026-02-08,32.0,alcohol
2026-02-15,36.666666666666664,alcohol
2026-02-22,33.333333333333336,alcohol
2026-03-01,39.0,alcohol
2026-03-08,39.0,alcohol
2026-03-15,34.333333333333336,alcohol
2026-03-22,34.666666666666664,alcohol
2026-03-29,34.333333333333336,alcohol
2025-03-30,38.333333333333336,mental
2025-04-06,42.666666666666664,mental
2025-04-13,36.333333333333336,mental
2025-04-20,40.0,mental
2025-04-27,41.0,mental
2025-05-04,44.0,mental
2025-05-11,36.0,mental
2025-05-18,24.333333333333332,mental
2025-05-25,31.333333333333332,mental
2025-06-01,32.666666666666664,mental
2025-06-08,36.0,mental
2025-06-15,36.666666666666664,mental
2025-06-22,22.666666666666668,mental
2025-06-29,24.0,mental
2025-07-06,28.666666666666668,mental
2025-07-13,32.333333333333336,mental
2025-07-20,33.333333333333336,mental
2025-07-27,35.333333333333336,mental
2025-08-03,33.333333333333336,mental
2025-08-10,28.0,mental
2025-08-17,21.666666666666668,mental
2025-08-24,35.0,mental
2025-08-31,28.333333333333332,mental
2025-09-07,31.666666666666668,mental
2025-09-14,34.0,mental
2025-09-21,45.666666666666664,mental
2025-09-28,37.333333333333336,mental
2025-10-05,33.666666666666664,mental
2025-10-12,39.666666666666664,mental
2025-10-19,45.666666666666664,mental
2025-10-26,51.0,mental
2025-11-02,58.333333333333336,mental
2025-11-09,54.666666666666664,mental
2025-11-16,53.666666666666664,mental
2025-11-23,38.666666666666664,mental
2025-11-30,68.33333333333333,mental
2025-12-07,56.666666666666664,mental
2025-12-14,49.0,mental
2025-12-21,30.666666666666668,mental
2025-12-28,34.0,mental
2026-01-04,37.666666666666664,mental
2026-01-11,50.666666666666664,mental
2026-01-18,44.0,mental
2026-01-25,56.666666666666664,mental
2026-02-01,75.0,mental
2026-02-08,63.0,mental
2026-02-15,67.0,mental
2026-02-22,66.33333333333333,mental
2026-03-01,70.33333333333333,mental
2026-03-08,68.66666666666667,mental
2026-03-15,46.666666666666664,mental
2026-03-22,43.333333333333336,mental
2026-03-29,45.333333333333336,mental
2025-03-30,26.666666666666668,treatment
2025-04-06,27.0,treatment
2025-04-13,27.333333333333332,treatment
2025-04-20,27.666666666666668,treatment
2025-04-27,29.333333333333332,treatment
2025-05-04,27.0,treatment
2025-05-11,26.0,treatment
2025-05-18,24.0,treatment
2025-05-25,24.333333333333332,treatment
2025-06-01,25.333333333333332,treatment
2025-06-08,27.0,treatment
2025-06-15,24.666666666666668,treatment
2025-06-22,23.666666666666668,treatment
2025-06-29,25.333333333333332,treatment
2025-07-06,27.666666666666668,treatment
2025-07-13,31.0,treatment
2025-07-20,36.666666666666664,treatment
2025-07-27,44.666666666666664,treatment
2025-08-03,31.333333333333332,treatment
2025-08-10,29.333333333333332,treatment
2025-08-17,28.333333333333332,treatment
2025-08-24,30.333333333333332,treatment
2025-08-31,26.666666666666668,treatment
2025-09-07,26.333333333333332,treatment
2025-09-14,28.333333333333332,treatment
2025-09-21,29.0,treatment
2025-09-28,26.333333333333332,treatment
2025-10-05,27.666666666666668,treatment
2025-10-12,29.0,treatment
2025-10-19,29.0,treatment
2025-10-26,29.0,treatment
2025-11-02,30.666666666666668,treatment
2025-11-09,30.0,treatment
2025-11-16,31.333333333333332,treatment
2025-11-23,24.333333333333332,treatment
2025-11-30,32.0,treatment
2025-12-07,28.666666666666668,treatment
2025-12-14,25.333333333333332,treatment
2025-12-21,24.0,treatment
2025-12-28,24.333333333333332,treatment
2026-01-04,28.333333333333332,treatment
2026-01-11,29.333333333333332,treatment
2026-01-18,27.0,treatment
2026-01-25,32.333333333333336,treatment
2026-02-01,35.333333333333336,treatment
2026-02-08,33.333333333333336,treatment
2026-02-15,34.666666666666664,treatment
2026-02-22,36.666666666666664,treatment
2026-03-01,37.333333333333336,treatment
2026-03-08,35.666666666666664,treatment
2026-03-15,29.0,treatment
2026-03-22,31.333333333333332,treatment
2026-03-29,28.333333333333332,treatment
